OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_2032	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Paracremonium_1	Paracremonium binnewijzendii 	Fungi-ZANF62,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium	83.085	100
FOTU_2033	Fungi_1	Chytridiomycota_1	Rhizophlyctidomycetes_1	Rhizophlyctidales_1	Rhizophlyctidaceae_1	Rhizophlyctis_1			0	0
FOTU_2034									0	0
FOTU_2035	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1					0	0
FOTU_2036	Fungi_1								0	0
FOTU_2037									0	0
FOTU_2038									0	0
FOTU_2039	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Boletales_1	Leucogyrophana_1	Leucogyrophana mollusca 			0	0
FOTU_2040									0	0
FOTU_2041	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Ceratobasidiaceae_1	Ceratobasidium_1			0	0
FOTU_2042									0	0
FOTU_2043	Rhizaria_1	Cercozoa_1							0	0
FOTU_2044									0	0
FOTU_2045									0	0
FOTU_2046									0	0
FOTU_2047	Fungi_1	Rozellomycota_1							0	0
FOTU_2048									0	0
FOTU_2049									0	0
FOTU_2050									0	0
FOTU_2051	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1				0	0
FOTU_2052	Fungi_1	Ascomycota_1	Sordariomycetes_1	Glomerellales_1	Plectosphaerellaceae_1	Furcasterigmium_1	Furcasterigmium furcatum 	Fungi-CHH4,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis,s__Gibellulopsis_piscis	93.035	99
FOTU_2053									0	0
FOTU_2054	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1			Fungi-OEO_O115,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_calciphila	95.025	99
FOTU_2055									0	0
FOTU_2056									0	0
FOTU_2057	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Stachybotryaceae_1				0	0
FOTU_2058									0	0
FOTU_2059	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Paraphoma_1			0	0
FOTU_2060									0	0
FOTU_2061									0	0
FOTU_2062	Rhizaria_1	Cercozoa_1							0	0
FOTU_2063	Fungi_1	Mortierellomycota_1	Mortierellomycetes_1	Mortierellales_1	Mortierellaceae_1			Fungi-OEO_O317,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_alpina	92.718	100
FOTU_2064	Rhizaria_1	Cercozoa_1							0	0
FOTU_2065	Fungi_1	Ascomycota_1	Sordariomycetes_1	Branch06_1					0	0
FOTU_2066	Fungi_1								0	0
FOTU_2067	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Geastrales_1	Geastraceae_1	Geastrum_1	Geastrum morganii 		0	0
FOTU_2068	Rhizaria_1	Cercozoa_1							0	0
FOTU_2069									0	0
FOTU_2070									0	0
FOTU_2071									0	0
FOTU_2072									0	0
FOTU_2073									0	0
FOTU_2074	Rhizaria_1	Cercozoa_1							0	0
FOTU_2075									0	0
FOTU_2076	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Tremellodendropsidales_1					0	0
FOTU_2077	Rhizaria_1	Cercozoa_1							0	0
FOTU_2078	Rhizaria_1	Cercozoa_1							0	0
FOTU_2079	Rhizaria_1	Cercozoa_1	Thaumatomonadida_1	Thaumatomastigidae_1	Thaumatomonas_1				0	0
FOTU_2080	Fungi_1	Ascomycota_1							0	0
FOTU_2081	Rhizaria_1	Cercozoa_1							0	0
FOTU_2082	Rhizaria_1	Haplosporidia_1							0	0
FOTU_2083	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Podosporaceae_1	Podospora_1	Podospora bulbillosa 	Fungi-CCHF66,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Humicola,s__Humicola_sardiniae	78.641	100
FOTU_2084									0	0
FOTU_2085	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Pluteaceae_1	Pluteus_1	Pluteus cervinus 		0	0
FOTU_2086	Rhizaria_1	Cercozoa_1							0	0
FOTU_2087									0	0
FOTU_2088									0	0
FOTU_2089	Fungi_1	Ascomycota_1	Dothideomycetes_1	Dothideales_1	Pringsheimia_1			Fungi-ZANF23,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,s__Aureobasidium_pullulans	85.644	100
FOTU_2090	Fungi_1	Rozellomycota_1							0	0
FOTU_2091									0	0
FOTU_2092	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Aspergillaceae_1	Aspergillus_1	Aspergillus restrictus 	Fungi-CCHF49A,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces	75.714	100
FOTU_2093	Fungi_1	Mucoromycota_1	Endogonomycetes_1						0	0
FOTU_2094	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1	Sarcoporia_1	Sarcoporia longitubulata 			0	0
FOTU_2095									0	0
FOTU_2096	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Trechisporales_1	Hydnodontaceae_1	Trechispora_1			0	0
FOTU_2097									0	0
FOTU_2098									0	0
FOTU_2099									0	0
FOTU_2100									0	0
FOTU_2101	Rhizaria_1	Cercozoa_1							0	0
FOTU_2102									0	0
FOTU_2103	Fungi_1							Fungi-ZANF68,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Pseudothielavia,s__Pseudothielavia_arxii	78.365	100
FOTU_2104	Fungi_1							Fungi-ZANF35,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium	98.773	82
FOTU_2105									0	0
FOTU_2106	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Xylariaceae_1				0	0
FOTU_2107									0	0
FOTU_2108	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1					0	0
FOTU_2109									0	0
FOTU_2110	Fungi_1	Chytridiomycota_1							0	0
FOTU_2111	Fungi_1								0	0
FOTU_2112	Fungi_1	Kickxellomycota_1	Ramicandelaberomycetes_1	Ramicandelaberales_1	Ramicandelaberaceae_1	Ramicandelaber_1	Ramicandelaber longisporus 		0	0
FOTU_2113									0	0
FOTU_2114	Fungi_1								0	0
FOTU_2115	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Sporormiaceae_1	Preussia_1			0	0
FOTU_2116									0	0
FOTU_2117	Fungi_1	Ascomycota_1	Sordariomycetes_1						0	0
FOTU_2118									0	0
FOTU_2119	Fungi_1								0	0
FOTU_2120	Fungi_1	Ascomycota_1							0	0
FOTU_2121	Fungi_1	Chytridiomycota_1	Rhizophlyctidomycetes_1	Rhizophlyctidales_1	Rhizophlyctidaceae_1	Rhizophlyctis_1			0	0
FOTU_2122	Fungi_1	Chytridiomycota_1							0	0
FOTU_2123									0	0
FOTU_2124									0	0
FOTU_2125									0	0
FOTU_2126									0	0
FOTU_2127	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1					0	0
FOTU_2128	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1					0	0
FOTU_2129									0	0
FOTU_2130									0	0
FOTU_2131									0	0
FOTU_2132									0	0
FOTU_2133	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusicolla_1	Fusicolla acetilerea 	Fungi-CCHF67,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium	82.353	100
FOTU_2134	Rhizaria_1	Cercozoa_1							0	0
FOTU_2135	Rhizaria_1	Cercozoa_1							0	0
FOTU_2136	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Thelephorales_1	Thelephoraceae_1	Tomentella_1			0	0
FOTU_2137	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1					0	0
FOTU_2138	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1					0	0
FOTU_2139									0	0
FOTU_2140	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Hymenochaetales_1					0	0
FOTU_2141	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Sporidiobolales_1	Sporidiobolaceae_1	Sporobolomyces_1			0	0
FOTU_2142	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Ophiocordycipitaceae_1				0	0
FOTU_2143									0	0
FOTU_2144	Fungi_1	Zoopagomycota_1	Zoopagomycetes_1	Zoopagales_1	Piptocephalidaceae_1	Syncephalis_1			0	0
FOTU_2145	Rhizaria_1	Cercozoa_1	Thaumatomonadida_1	Thaumatomastigidae_1	Thaumatomonas_1				0	0
FOTU_2146	Fungi_1	Kickxellomycota_1	Kickxellomycetes_1	Kickxellales_1	Kickxellaceae_1	Spiromyces_1			0	0
FOTU_2147	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1					0	0
