OTU,Kingdom,Phylum,Class,Order,Family ,Genus
BOTU_6279,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured_bacterium
BOTU_6275,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781
BOTU_6281,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
BOTU_6234,Bacteria,Myxococcota,Polyangia,unidentified,unidentified,unidentified
BOTU_6236,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured
BOTU_6237,Bacteria,Firmicutes,Symbiobacteriia,Symbiobacteriales,Symbiobacteraceae,uncultured
BOTU_6214,Bacteria,Actinobacteriota,Actinobacteria,uncultured_bacterium,unidentified,unidentified
BOTU_6244,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96
BOTU_6179,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
BOTU_6211,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
BOTU_6241,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14
BOTU_6249,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,unidentified
BOTU_6278,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
BOTU_6299,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6251,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
BOTU_6263,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
BOTU_6232,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured
BOTU_6300,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17
BOTU_6292,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,uncultured
BOTU_6262,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,UCG-010
BOTU_6277,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,unidentified
BOTU_6260,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
BOTU_6303,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae
BOTU_6246,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,unidentified
BOTU_6315,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45
BOTU_6233,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured
BOTU_6284,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
BOTU_6208,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
BOTU_6301,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190
BOTU_6229,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
BOTU_6252,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,PLTA13,PLTA13
BOTU_6238,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azoarcus
BOTU_6337,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6295,Bacteria,Desulfobacterota,uncultured,uncultured,uncultured,uncultured
BOTU_6339,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6305,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured
BOTU_6220,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Thermobacillus
BOTU_6352,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6267,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BOTU_6270,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter
BOTU_6324,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
BOTU_6265,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
BOTU_6319,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,uncultured
BOTU_6297,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured,uncultured
BOTU_6330,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured
BOTU_6283,Bacteria,Proteobacteria,Gammaproteobacteria,F9P41300-M23,F9P41300-M23,F9P41300-M23
BOTU_6293,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured
BOTU_6290,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum
BOTU_6282,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,uncultured_bacterium
BOTU_6311,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
BOTU_6316,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter
BOTU_6327,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
BOTU_6285,Bacteria,Actinobacteriota,unidentified,unidentified,unidentified,unidentified
BOTU_6346,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,Candidatus_Azambacteria
BOTU_6230,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
BOTU_6291,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,unidentified
BOTU_6336,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured
BOTU_6326,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriales,Kapabacteriales
BOTU_6308,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter
BOTU_6334,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter
BOTU_6321,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Criblamydiaceae,uncultured
BOTU_6333,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
BOTU_6360,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,Candidatus_Azambacteria
BOTU_6296,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,unidentified
BOTU_6289,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,uncultured_bacterium
BOTU_6367,Bacteria,Chloroflexi,unidentified,unidentified,unidentified,unidentified
BOTU_6294,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,unidentified
BOTU_6288,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,unidentified
BOTU_6261,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus
BOTU_6309,Bacteria,Actinobacteriota,Thermoleophilia,uncultured_bacterium,unidentified,unidentified
BOTU_6359,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera
