vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Sun Feb  4 14:19:22 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  298       11139     0.1%     0.1%
   77   100.0%  36.9  0.00020  0.001410   0.05   0.000646    0.065%
   78   100.0%  36.8  0.00021  0.001681   0.05   0.000660    0.066%
   79   100.0%  36.6  0.00022  0.001838   0.05   0.000675    0.067%
   80   100.0%  36.7  0.00021  0.001737   0.06   0.000688    0.069%
   81   100.0%  36.6  0.00022  0.001912   0.06   0.000703    0.070%
   82   100.0%  36.8  0.00021  0.001626   0.06   0.000714    0.071%
   83   100.0%  36.9  0.00020  0.001472   0.06   0.000723    0.072%
   84    99.9%  36.9  0.00021  0.001525   0.06   0.000733    0.073%
   85    99.9%  36.9  0.00020  0.001454   0.06   0.000742    0.074%
   86    99.9%  37.0  0.00020  0.001411   0.06   0.000750    0.075%
   87    99.9%  37.0  0.00020  0.001454   0.07   0.000758    0.076%
   88    99.9%  37.0  0.00020  0.001455   0.07   0.000766    0.077%
   89    99.9%  37.0  0.00020  0.001505   0.07   0.000774    0.077%
   90    99.9%  37.1  0.00020  0.001354   0.07   0.000780    0.078%
   91    99.9%  37.0  0.00020  0.001484   0.07   0.000788    0.079%
   92    99.9%  36.9  0.00020  0.001588   0.07   0.000797    0.080%
   93    99.9%  37.0  0.00020  0.001476   0.07   0.000804    0.080%
   94    99.9%  36.9  0.00020  0.001634   0.08   0.000813    0.081%
   95    99.9%  36.8  0.00021  0.001777   0.08   0.000823    0.082%
   96    99.9%  36.8  0.00021  0.001730   0.08   0.000832    0.083%
   97    99.9%  36.6  0.00022  0.002019   0.08   0.000845    0.084%
   98    99.9%  36.7  0.00021  0.001861   0.08   0.000855    0.086%
   99    99.9%  36.7  0.00021  0.001874   0.09   0.000865    0.087%
  100    99.9%  36.8  0.00021  0.001790   0.09   0.000875    0.087%
  101    99.9%  36.9  0.00021  0.001715   0.09   0.000883    0.088%
  102    99.9%  36.8  0.00021  0.001727   0.09   0.000891    0.089%
  103    99.9%  36.9  0.00021  0.001657   0.09   0.000899    0.090%
  104    99.9%  36.8  0.00021  0.001857   0.09   0.000908    0.091%
  105    99.9%  36.8  0.00021  0.001872   0.10   0.000917    0.092%
  106    99.9%  36.7  0.00021  0.001965   0.10   0.000927    0.093%
  107    99.9%  36.6  0.00022  0.002432   0.10   0.000941    0.094%
  108    99.9%  36.3  0.00023  0.003025   0.10   0.000960    0.096%
  109    99.9%  35.9  0.00026  0.004115   0.11   0.000989    0.099%
  110    99.9%  35.2  0.00030  0.005669   0.11   0.001032    0.103%
  111    99.9%  34.5  0.00036  0.007247   0.12   0.001088    0.109%
  112    99.9%  33.6  0.00044  0.009260   0.13   0.001161    0.116%
  113    99.9%  32.9  0.00051  0.010807   0.14   0.001246    0.125%
  114    99.9%  32.2  0.00060  0.012618   0.15   0.001346    0.135%
  115    99.9%  31.9  0.00064  0.013493   0.17   0.001451    0.145%
  116    99.9%  31.7  0.00068  0.014233   0.18   0.001562    0.156%
  117    99.9%  31.6  0.00070  0.014684   0.20   0.001674    0.167%
  118    99.9%  31.7  0.00068  0.014628   0.21   0.001784    0.178%
  119    99.9%  31.7  0.00068  0.014854   0.23   0.001893    0.189%
  120    99.9%  31.8  0.00067  0.014768   0.24   0.002001    0.200%
  121    99.9%  31.7  0.00067  0.014833   0.25   0.002107    0.211%
  122    99.9%  31.7  0.00068  0.015007   0.27   0.002213    0.221%
  123    99.9%  31.7  0.00068  0.014952   0.28   0.002316    0.232%
  124    99.9%  31.6  0.00069  0.015202   0.30   0.002420    0.242%
  125    99.9%  31.5  0.00071  0.015565   0.32   0.002525    0.253%
  126    99.9%  31.3  0.00073  0.015894   0.33   0.002631    0.263%
  127    99.9%  31.4  0.00072  0.016002   0.35   0.002737    0.274%
  128    99.9%  31.1  0.00077  0.018833   0.37   0.002862    0.286%
  129    99.9%  30.9  0.00082  0.019510   0.39   0.002991    0.299%
  130    99.9%  30.7  0.00085  0.020483   0.41   0.003126    0.313%
  131    99.9%  30.7  0.00084  0.020542   0.43   0.003259    0.326%
  132    99.9%  30.8  0.00082  0.019711   0.45   0.003383    0.338%
  133    99.9%  30.7  0.00086  0.021403   0.47   0.003519    0.352%
  134    99.9%  30.8  0.00084  0.018355   0.49   0.003630    0.363%
  135    99.9%  30.8  0.00083  0.018232   0.50   0.003738    0.374%
  136    99.9%  30.8  0.00083  0.018155   0.52   0.003844    0.384%
  137    99.9%  30.9  0.00082  0.017867   0.54   0.003946    0.395%
  138    99.9%  30.7  0.00086  0.018220   0.56   0.004050    0.405%
  139    99.9%  30.9  0.00082  0.017636   0.58   0.004147    0.415%
  140    99.9%  30.9  0.00082  0.017637   0.59   0.004244    0.424%
  141    99.9%  31.0  0.00080  0.017549   0.61   0.004338    0.434%
  142    99.9%  30.9  0.00082  0.017797   0.63   0.004433    0.443%
  143    99.9%  30.8  0.00084  0.017956   0.65   0.004527    0.453%
  144    99.9%  30.6  0.00087  0.017983   0.67   0.004621    0.462%
  145    99.9%  30.8  0.00083  0.017648   0.68   0.004711    0.471%
  146    99.9%  30.7  0.00084  0.017819   0.70   0.004800    0.480%
  147    99.9%  30.7  0.00084  0.017658   0.72   0.004888    0.489%
  148    99.9%  31.0  0.00080  0.016934   0.74   0.004969    0.497%
  149    99.9%  31.0  0.00080  0.016957   0.75   0.005050    0.505%
  150    99.9%  31.1  0.00078  0.016739   0.77   0.005128    0.513%
  151    99.9%  31.1  0.00077  0.016552   0.79   0.005203    0.520%
  152    99.9%  31.0  0.00080  0.016760   0.80   0.005279    0.528%
  153    99.9%  31.1  0.00077  0.016586   0.82   0.005353    0.535%
  154    99.9%  31.1  0.00077  0.016567   0.84   0.005426    0.543%
  155    99.9%  31.0  0.00079  0.016769   0.85   0.005499    0.550%
  156    99.9%  31.0  0.00079  0.016888   0.87   0.005572    0.557%
  157    99.9%  31.1  0.00078  0.016853   0.89   0.005644    0.564%
  158    99.9%  31.0  0.00079  0.017121   0.90   0.005717    0.572%
  159    99.9%  31.0  0.00079  0.017203   0.92   0.005789    0.579%
  160    99.9%  31.0  0.00080  0.017286   0.94   0.005861    0.586%
  161    99.9%  30.8  0.00083  0.017639   0.96   0.005934    0.593%
  162    99.9%  30.6  0.00087  0.018087   0.97   0.006009    0.601%
  163    99.9%  30.7  0.00085  0.017883   0.99   0.006082    0.608%
  164    99.9%  30.6  0.00086  0.018157   1.01   0.006155    0.616%
  165    99.9%  30.8  0.00083  0.017698   1.03   0.006225    0.623%
  166    99.9%  30.7  0.00084  0.017880   1.05   0.006295    0.630%
  167    99.9%  30.7  0.00086  0.018052   1.06   0.006366    0.637%
  168    99.9%  30.8  0.00084  0.017700   1.08   0.006433    0.643%
  169    99.9%  30.9  0.00081  0.017457   1.10   0.006498    0.650%
  170    99.9%  31.0  0.00080  0.017430   1.12   0.006563    0.656%
  171    99.9%  30.9  0.00081  0.017715   1.13   0.006628    0.663%
  172    99.9%  30.7  0.00086  0.018343   1.15   0.006696    0.670%
  173    99.9%  30.6  0.00087  0.018449   1.17   0.006764    0.676%
  174    99.9%  30.5  0.00088  0.018762   1.19   0.006833    0.683%
  175    99.9%  30.5  0.00088  0.018859   1.21   0.006901    0.690%
  176    99.9%  30.4  0.00091  0.018984   1.23   0.006970    0.697%
  177    99.9%  30.4  0.00090  0.019067   1.25   0.007038    0.704%
  178    99.9%  30.5  0.00090  0.019182   1.26   0.007107    0.711%
  179    99.9%  30.4  0.00090  0.019154   1.28   0.007174    0.717%
  180    99.9%  30.4  0.00091  0.019039   1.30   0.007240    0.724%
  181    99.9%  30.4  0.00091  0.018974   1.32   0.007305    0.730%
  182    99.9%  30.6  0.00087  0.018486   1.34   0.007366    0.737%
  183    99.9%  30.6  0.00087  0.018620   1.36   0.007428    0.743%
  184    99.9%  30.5  0.00088  0.018742   1.38   0.007489    0.749%
  185    99.9%  30.5  0.00089  0.019065   1.40   0.007552    0.755%
  186    99.9%  30.5  0.00088  0.019119   1.42   0.007614    0.761%
  187    99.9%  30.6  0.00088  0.019192   1.44   0.007676    0.768%
  188    99.9%  30.5  0.00088  0.019413   1.45   0.007738    0.774%
  189    99.9%  30.5  0.00089  0.019536   1.47   0.007801    0.780%
  190    99.9%  30.1  0.00097  0.020191   1.49   0.007866    0.787%
  191    99.9%  30.4  0.00090  0.019493   1.51   0.007927    0.793%
  192    99.9%  30.3  0.00094  0.019895   1.53   0.007989    0.799%
  193    99.9%  30.3  0.00093  0.019967   1.55   0.008051    0.805%
  194    99.9%  30.1  0.00097  0.020385   1.57   0.008115    0.811%
  195    99.9%  30.3  0.00093  0.020036   1.59   0.008176    0.818%
  196    99.9%  30.3  0.00094  0.020188   1.61   0.008237    0.824%
  197    99.9%  30.2  0.00096  0.020470   1.63   0.008299    0.830%
  198    99.9%  30.1  0.00098  0.020672   1.66   0.008362    0.836%
  199    99.9%  30.2  0.00095  0.020488   1.68   0.008422    0.842%
  200    99.9%  29.9  0.00102  0.021069   1.70   0.008486    0.849%
  201    99.9%  30.2  0.00095  0.020506   1.72   0.008545    0.855%
  202    99.9%  30.2  0.00096  0.020688   1.74   0.008606    0.861%
